13.07.2019 10:49:17 ; 13.07.2019; 10:49:17 ; Зв'язок з витратоміром встановлено. ; 2 ; 
13.07.2019 10:49:18 ; 13.07.2019; 10:49:18 ; Відсутній зв'язок з ПЛК ; 1 ; 
13.07.2019 10:49:19 ; 13.07.2019; 10:49:19 ; Клапан відкрито. ; 2 ; 
13.07.2019 10:49:19 ; 13.07.2019; 10:49:19 ; Клапан закрито. ; 2 ; 
13.07.2019 10:49:19 ; 13.07.2019; 10:49:19 ; Аварія. Клапан не закрився. ; 1 ; 
13.07.2019 10:49:19 ; 13.07.2019; 10:49:19 ; Насос включено. ; 2 ; 
13.07.2019 10:49:19 ; 13.07.2019; 10:49:19 ; Аварія. Відсутній зв'язок з витратоміром. ; 1 ; 
13.07.2019 10:49:19 ; 13.07.2019; 10:49:19 ; Аварія. Відсутній зв'язок з витратоміром. ; 1 ; 
13.07.2019 10:49:22 ; 13.07.2019; 10:49:22 ; Встановлено зв'язок з ПЛК ; 2 ; 
13.07.2019 10:49:23 ; 13.07.2019; 10:49:23 ; Система готова до наливу. ; 2 ; 
13.07.2019 10:49:24 ; 13.07.2019; 10:49:24 ; Насос виключено. ; 2 ; 
13.07.2019 10:49:24 ; 13.07.2019; 10:49:24 ; Зв'язок з витратоміром встановлено. ; 2 ; 
13.07.2019 10:51:24 ; 13.07.2019; 10:51:24 ; Завдання 47 : 3333333333333333 запущено ; 2 ; 
13.07.2019 10:51:29 ; 13.07.2019; 10:51:29 ; Насос включено. ; 2 ; 
13.07.2019 10:51:38 ; 13.07.2019; 10:51:38 ; Клапан відкрито. ; 2 ; 
13.07.2019 10:52:37 ; 13.07.2019; 10:52:37 ; Додаток запущено ; 2 ; 
13.07.2019 10:52:44 ; 13.07.2019; 10:52:44 ; Додаток запущено ; 2 ; 
13.07.2019 10:52:44 ; 13.07.2019; 10:52:44 ; Встановлено зв'язок з ПЛК ; 2 ; 
13.07.2019 10:52:45 ; 13.07.2019; 10:52:45 ; Насос виключено. ; 2 ; 
13.07.2019 10:52:45 ; 13.07.2019; 10:52:45 ; Завдання 47 : 3333333333333333 запущено ; 2 ; 
13.07.2019 10:52:45 ; 13.07.2019; 10:52:45 ; Зв'язок з витратоміром встановлено. ; 2 ; 
13.07.2019 10:52:46 ; 13.07.2019; 10:52:46 ; Клапан відкрито. ; 2 ; 
13.07.2019 10:52:46 ; 13.07.2019; 10:52:46 ; Насос включено. ; 2 ; 
13.07.2019 10:54:33 ; 13.07.2019; 10:54:33 ; Насос виключено. ; 2 ; 
13.07.2019 10:54:37 ; 13.07.2019; 10:54:37 ; Клапан закрито. ; 2 ; 
13.07.2019 10:54:37 ; 13.07.2019; 10:54:37 ; Завдання 47 : 3333333333333333 завершено. ; 2 ; 
13.07.2019 10:54:52 ; 13.07.2019; 10:54:52 ; Розрахунок по наливу 47 : 3333333333333333 завершено. ; 2 ; 
13.07.2019 10:54:52 ; 13.07.2019; 10:54:52 ; Завдання 47 : 3333333333333333 успішно внесено до БД. ; 2 ; 
13.07.2019 10:57:16 ; 13.07.2019; 10:57:16 ; Виконано вхід в систему ; 2 ; 
13.07.2019 11:00:38 ; 13.07.2019; 11:00:38 ; Завдання 48 : 33333333333 завантажено. ; 2 ; 
13.07.2019 11:00:39 ; 13.07.2019; 11:00:39 ; Система готова до наливу. ; 2 ; 
13.07.2019 11:00:58 ; 13.07.2019; 11:00:58 ; Завдання 48 : 33333333333 запущено ; 2 ; 
13.07.2019 11:01:03 ; 13.07.2019; 11:01:03 ; Насос включено. ; 2 ; 
